"","franchID","yearID","W","WAR","source"
"339","BOS",1891,NA,40.7,"Baseball Reference"
"340","BRS",1891,93,NA,"Baseball Reference"
"341","CHC",1891,82,32.6,"Baseball Reference"
"342","CIN",1891,56,21.2,"Baseball Reference"
"343","CKK",1891,43,8,"Baseball Reference"
"344","CLS",1891,61,NA,"Baseball Reference"
"345","CLV",1891,65,18.5,"Baseball Reference"
"346","COL",1891,NA,15.4,"Baseball Reference"
"347","LAD",1891,61,NA,"Baseball Reference"
"348","LOU",1891,54,11.1,"Baseball Reference"
"349","MIL",1891,NA,10.2,"Baseball Reference"
"350","MLA",1891,21,NA,"Baseball Reference"
"351","PHA",1891,NA,23.1,"Baseball Reference"
"352","PHI",1891,68,25.4,"Baseball Reference"
"353","PHQ",1891,73,NA,"Baseball Reference"
"354","PIT",1891,55,21.4,"Baseball Reference"
"355","SFG",1891,71,NA,"Baseball Reference"
"356","STL",1891,85,29.5,"Baseball Reference"
"357","WAS",1891,44,-2.4,"Baseball Reference"
"358","ATL",1892,102,NA,"Baseball Reference"
"359","BLO",1892,46,NA,"Baseball Reference"
"360","CHC",1892,70,26.7,"Baseball Reference"
"361","CIN",1892,82,37,"Baseball Reference"
"362","CLV",1892,93,49,"Baseball Reference"
"363","LAD",1892,95,NA,"Baseball Reference"
"364","LOU",1892,63,18.3,"Baseball Reference"
"365","PHI",1892,87,50.2,"Baseball Reference"
"366","PIT",1892,80,22.8,"Baseball Reference"
"367","SFG",1892,71,NA,"Baseball Reference"
"368","STL",1892,56,12.7,"Baseball Reference"
"369","WAS",1892,58,NA,"Baseball Reference"
"370","ATL",1893,86,NA,"Baseball Reference"
"371","BLO",1893,60,NA,"Baseball Reference"
"372","CHC",1893,56,21.1,"Baseball Reference"
"373","CIN",1893,65,24.2,"Baseball Reference"
"374","CLV",1893,73,33.2,"Baseball Reference"
"375","LAD",1893,65,NA,"Baseball Reference"
"376","LOU",1893,50,9.6,"Baseball Reference"
"377","PHI",1893,72,35.5,"Baseball Reference"
"378","PIT",1893,81,41.8,"Baseball Reference"
"379","SFG",1893,68,NA,"Baseball Reference"
"380","STL",1893,57,28.1,"Baseball Reference"
"381","WAS",1893,40,NA,"Baseball Reference"
"382","ATL",1894,83,NA,"Baseball Reference"
"383","BLO",1894,89,NA,"Baseball Reference"
"384","CHC",1894,57,21.9,"Baseball Reference"
"385","CIN",1894,55,15.2,"Baseball Reference"
"386","CLV",1894,68,24.9,"Baseball Reference"
"387","LAD",1894,70,NA,"Baseball Reference"
"388","LOU",1894,36,6.6,"Baseball Reference"
"389","PHI",1894,71,38.8,"Baseball Reference"
"390","PIT",1894,65,27.8,"Baseball Reference"
"391","SFG",1894,88,NA,"Baseball Reference"
"392","STL",1894,56,21.5,"Baseball Reference"
"393","WAS",1894,45,NA,"Baseball Reference"
"394","ATL",1895,71,NA,"Baseball Reference"
"395","BLO",1895,87,NA,"Baseball Reference"
"396","CHC",1895,72,28.7,"Baseball Reference"
"397","CIN",1895,66,30,"Baseball Reference"
"398","CLV",1895,84,38,"Baseball Reference"
"399","LAD",1895,71,NA,"Baseball Reference"
"400","LOU",1895,35,2.3,"Baseball Reference"
"401","PHI",1895,78,34.7,"Baseball Reference"
"402","PIT",1895,71,31.1,"Baseball Reference"
"403","SFG",1895,66,NA,"Baseball Reference"
"404","STL",1895,39,9.9,"Baseball Reference"
"405","WAS",1895,43,NA,"Baseball Reference"
"406","ATL",1896,74,NA,"Baseball Reference"
"407","BLO",1896,90,NA,"Baseball Reference"
"408","CHC",1896,71,26.3,"Baseball Reference"
"409","CIN",1896,77,39.9,"Baseball Reference"
"410","CLV",1896,80,42,"Baseball Reference"
"411","LAD",1896,58,NA,"Baseball Reference"
"412","LOU",1896,38,1.7,"Baseball Reference"
"413","PHI",1896,62,20.4,"Baseball Reference"
"414","PIT",1896,66,32.2,"Baseball Reference"
"415","SFG",1896,64,NA,"Baseball Reference"
"416","STL",1896,40,3.6,"Baseball Reference"
"417","WAS",1896,58,NA,"Baseball Reference"
"418","ATL",1897,93,NA,"Baseball Reference"
"419","BLO",1897,90,NA,"Baseball Reference"
"420","CHC",1897,59,19.4,"Baseball Reference"
"421","CIN",1897,76,33.1,"Baseball Reference"
"422","CLV",1897,69,33.7,"Baseball Reference"
"423","LAD",1897,61,NA,"Baseball Reference"
"424","LOU",1897,52,12.2,"Baseball Reference"
"425","PHI",1897,55,26.6,"Baseball Reference"
