"","franchID","yearID","WARP","W"
"480","BUF",1915,0,NA
"481","CAL",1965,13.93,NA
"482","CAL",1966,24.42,NA
"483","CAL",1967,23.65,NA
"484","CAL",1968,18.45,NA
"485","CAL",1969,26.54,NA
"486","CAL",1970,33.43,NA
"487","CAL",1971,27.57,NA
"488","CAL",1972,33.06,NA
"489","CAL",1973,33.47,NA
"490","CAL",1974,35.83,NA
"491","CAL",1975,30.4,NA
"492","CAL",1976,28.94,NA
"493","CAL",1977,38.94,NA
"494","CAL",1978,30.15,NA
"495","CAL",1979,35.43,NA
"496","CAL",1980,10.48,NA
"497","CAL",1981,20.61,NA
"498","CAL",1982,54.64,NA
"499","CAL",1983,34.36,NA
"500","CAL",1984,26.29,NA
"501","CAL",1985,28.96,NA
"502","CAL",1986,50.65,NA
"503","CAL",1987,27.02,NA
"504","CAL",1988,28.87,NA
"505","CAL",1989,39.22,NA
"506","CAL",1990,38.41,NA
"507","CAL",1991,32.31,NA
"508","CAL",1992,22.67,NA
"509","CAL",1993,24.64,NA
"510","CAL",1994,15.19,NA
"511","CAL",1995,37.4,NA
"512","CAL",1996,28.17,NA
"513","CH1",1871,0,NA
"514","CH2",1874,0,NA
"515","CH2",1875,0,NA
"516","CHA",1901,0,NA
"517","CHA",1902,0,NA
"518","CHA",1903,0,NA
"519","CHA",1904,0,NA
"520","CHA",1905,0,NA
"521","CHA",1906,0,NA
"522","CHA",1907,0,NA
"523","CHA",1908,0,NA
"524","CHA",1909,0,NA
"525","CHA",1910,0,NA
"526","CHA",1911,0,NA
"527","CHA",1912,0,NA
"528","CHA",1913,0,NA
"529","CHA",1914,0,NA
"530","CHA",1915,0,NA
"531","CHA",1916,0,NA
"532","CHA",1917,0,NA
"533","CHA",1918,0,NA
"534","CHA",1919,0,NA
"535","CHA",1920,0,NA
"536","CHA",1921,0,NA
"537","CHA",1922,0,NA
"538","CHA",1923,0,NA
"539","CHA",1924,0,NA
"540","CHA",1925,0,NA
"541","CHA",1926,0,NA
"542","CHA",1927,0,NA
